,price,name,industry,pe_ratio,pe_ratio_lyr,pb_ratio,market_cap,circulating_market_cap,roe_ttm,ROAEBITTTM,debt_to_asset_ratio,debt_to_equity_ratio,MLEV,long_debt_to_working_capital_ratio,fixed_asset_ratio,intangible_asset_ratio,net_profit_ratio,net_profit_to_total_operate_revenue_ttm,net_non_operating_income_to_total_profit,gross_income_ratio,adjusted_profit_to_total_profit,total_profit_to_cost_ratio,total_asset_turnover_rate,accounts_payable_turnover_days,account_receivable_turnover_days,inventory_turnover_days,OperatingCycle,inventory_turnover_rate,DEGM,operating_profit_growth_rate,sale_expense_to_operating_revenue,operating_tax_to_operating_revenue_ratio_ttm,net_operate_cash_flow_to_operate_income,net_operating_cash_flow_coverage,cash_rate_of_sales,net_operate_cash_flow_to_total_liability,ACCA,current_ratio,quick_ratio,super_quick_ratio,LVGI,SGI,GMI,DSRI,SGAI,DEGM_8y,maximum_margin,margin_stability
300396.XSHE,16.45,迪瑞医疗,专用设备制造业,19.7802,22.9644,3.0622,45.4069,41.1264,0.154809,0.037877,0.178632,0.246512,0.013475,0.09428,0.138768,0.331208,0.267855,0.267855,0.0,0.650774,0.724968,0.518738,0.487952,99.417709,,245.082122,,1.468895,0.004195,0.130252,0.14618,0.013641,0.971476,1.168425,0.277619,0.203459,-0.001756,3.167444,2.385302,2.290226,0.909232,1.07575,0.987346,0.98669,0.682454,0.036012,0.906928,17.746074
300397.XSHE,20.14,天和防务,计算机、通信和其他电子设备制造业,-113.9537,-28.3969,4.3784,48.336000000000006,31.1023,-0.038423,-0.000498,0.244968,0.356228,0.006523,0.074184,0.242979,0.117688,-0.008685,-0.008685,0.0,0.400023,0.219226,-0.005602,0.433361,151.185071,,211.972882,,1.69833,-0.083325,-0.845797,0.059014,0.011522,-0.967088,-6.292155,0.02986,-0.16443,-0.06018,2.18328,1.503461,1.228304,1.060852,0.745502,1.35238,0.884328,1.159114,-0.156999,0.209587,2.585005
300398.XSHE,12.9,飞凯材料,化学原料和化学制品制造业,31.171999999999997,23.4765,2.8672,66.7758,55.4041,0.091979,0.017113,0.367963,0.597099,0.048481,0.693576,0.280449,0.249753,0.151385,0.151385,0.008612,0.419971,0.623865,0.223919,0.38551,90.084882,142.877766,179.925282,322.803048,2.000831,-0.14138,-0.092883,0.072075,0.010775,0.74638,1.707984,0.110508,0.076352,0.010795,1.46701,1.064915,0.962997,1.095785,1.762283,0.96286,0.508561,0.499407,-0.027235,0.810007,12.309971
300399.XSHE,11.93,京天利,软件和信息技术服务业,86.51,93.9046,5.5368,23.5737,15.9928,0.064002,0.017803,0.158641,0.19342,0.025018,0.142672,0.030785,0.050017,0.057711,0.057711,0.0,0.17337,0.7654,0.07934,0.980452,12.580203,,1.28493,,280.170891,-0.165553,0.791466,0.008649,0.002689,0.317966,1.000906,0.01753,0.108433,-0.001898,20.394021,20.325331,19.837243,0.695334,1.075584,1.346222,0.964115,0.598751,-0.15508,0.319804,3.567024
300400.XSHE,12.98,劲拓股份,专用设备制造业,86.3756,34.8109,5.8623,31.6704,22.2692,0.06787,0.01068,0.451858,0.832766,0.020445,0.277169,0.330001,0.016777,0.070787,0.070787,0.0,0.373832,0.836914,0.091979,0.507579,188.975749,166.688844,261.769196,428.45804,1.375257,-0.04729,-0.668671,0.133018,0.005523,5.323907,0.096344,0.132186,0.00286,-0.011808,1.6214,1.021855,0.882784,1.130818,1.2368,1.110155,0.852179,0.831367,-0.014055,0.948915,22.939901
300401.XSHE,12.43,花园生物,食品制造业,15.2125,19.3799,3.4874,59.5755,57.0549,0.229249,0.061795,0.158625,0.188531,0.000432,0.00301,0.275023,0.084757,0.513401,0.513401,0.0,0.734012,0.798033,1.656423,0.3757,104.164906,46.273518,540.467281,586.740799,0.66609,0.122069,0.560145,0.02345,0.009402,0.955072,1.575937,0.537913,0.387968,0.021141,3.67906,2.725636,2.643809,0.630399,1.572436,0.846759,0.984727,0.544201,0.097147,0.929797,3.460706
300402.XSHE,9.85,宝色股份,专用设备制造业,74.5342,135.93,3.1672,19.897000000000002,19.897000000000002,0.042493,0.0036,0.684473,2.169298,0.009867,0.197717,0.220221,0.046841,0.03079,0.03079,0.0,0.216563,0.680296,0.032081,0.435454,169.587929,361.549361,337.707555,699.256916,1.066011,0.401818,-0.320594,0.034227,0.006457,15.786022,16.926211,0.290857,0.037475,0.02405,1.074673,0.600219,0.535067,1.108829,1.622136,0.562696,0.914564,0.538287,-0.006249,0.473075,3.628361
300403.XSHE,5.25,汉宇集团,电气机械和器材制造业,20.6226,19.4507,2.3945,31.6575,19.9995,0.111289,0.024232,0.185629,0.228345,0.006863,0.050426,0.425225,0.073381,0.170527,0.170527,0.0,0.375342,0.91772,0.257935,0.508139,69.782776,108.148389,116.293553,224.441941,3.095614,0.002943,-0.014546,0.069467,0.010497,1.094921,1.245365,0.197753,0.181881,0.007662,2.549325,1.953797,1.747929,1.646433,1.020208,1.066926,1.203137,0.782413,0.005319,0.880336,15.635131
300404.XSHE,14.26,博济医药,研究和试验发展,359.4409,334.0388,5.9051,24.7186,15.7649,0.016429,0.005245,0.287123,0.415014,0.007128,0.15878,0.331403,0.085002,0.04968,0.04968,0.0,0.433042,0.298265,0.076682,0.332726,205.645985,,318.060924,,1.131859,0.101899,-1.638865,0.058288,0.010376,3.989672,-2.965093,0.113693,-0.04537,-0.018927,1.716526,1.070021,0.805889,1.078082,1.315799,0.600697,0.874317,0.706436,-0.019545,0.653604,7.711182
300405.XSHE,7.27,科隆股份,化学原料和化学制品制造业,-16.0494,-16.0945,1.9056,16.1735,9.5198,-0.118731,-0.015648,0.508873,1.048076,0.020139,0.10331,0.228895,0.069552,-0.105271,-0.105172,0.0,0.170223,0.93621,-0.113215,0.554792,62.019652,236.334087,75.318444,311.652531,4.779706,-0.009947,-19.40262,0.064825,0.008331,-1.855498,-3.49346,0.290064,0.005799,0.003851,1.375747,1.179131,1.103736,1.082139,1.060364,1.17586,0.872725,0.771456,0.048119,0.826885,9.945068
