,price,name,industry,pe_ratio,pe_ratio_lyr,pb_ratio,market_cap,circulating_market_cap,roe_ttm,ROAEBITTTM,debt_to_asset_ratio,debt_to_equity_ratio,MLEV,long_debt_to_working_capital_ratio,fixed_asset_ratio,intangible_asset_ratio,net_profit_ratio,net_profit_to_total_operate_revenue_ttm,net_non_operating_income_to_total_profit,gross_income_ratio,adjusted_profit_to_total_profit,total_profit_to_cost_ratio,total_asset_turnover_rate,accounts_payable_turnover_days,account_receivable_turnover_days,inventory_turnover_days,OperatingCycle,inventory_turnover_rate,DEGM,operating_profit_growth_rate,sale_expense_to_operating_revenue,operating_tax_to_operating_revenue_ratio_ttm,net_operate_cash_flow_to_operate_income,net_operating_cash_flow_coverage,cash_rate_of_sales,net_operate_cash_flow_to_total_liability,ACCA,current_ratio,quick_ratio,super_quick_ratio,LVGI,SGI,GMI,DSRI,SGAI,DEGM_8y,maximum_margin,margin_stability
000716.XSHE,3.19,黑芝麻,食品制造业,59.7485,39.741,0.8658,23.81,19.9132,0.014491,0.0022,0.454229,0.862501,0.21393,1.468279,0.233848,0.215432,0.000374,0.000374,0.0,0.170902,0.434198,0.009957,0.895824,60.173075,,45.643787,,7.887163,-0.329004,-0.506143,0.114839,0.004929,248.253948,-0.85615,0.069238,-0.003542,-0.002909,1.256,0.970758,0.66351,1.032578,1.430273,1.277532,0.8125,0.846218,-0.094421,0.40063,4.377902
000717.XSHE,3.51,韶钢松山,黑色金属冶炼和压延加工业,4.6186,2.5685,1.1374,84.9253,84.9253,0.246257,0.030618,0.554125,1.242781,0.04668,-0.120213,0.664038,0.011835,0.062559,0.062559,0.0,0.104774,0.705992,0.075264,1.755141,46.487611,24.940918,28.608072,53.54899,12.583861,-0.392837,-0.427909,-3.7e-05,0.004412,1.510513,2.038216,0.098666,0.06199,0.01705,0.609742,0.373839,0.292364,0.786019,1.041255,0.750232,0.03941,1.574544,,,0.4042
000718.XSHE,3.75,苏宁环球,房地产业,9.1179,11.1496,1.4607,113.7989,85.8508,0.160205,0.022901,0.56165,1.333208,0.159528,0.284309,0.032357,0.018977,0.333031,0.333031,0.0,0.659195,0.653624,0.997271,0.200831,629.697372,466.251938,3292.706168,3758.958106,0.109333,0.278144,0.080152,0.027923,0.060694,0.052791,0.86615,0.024586,0.015427,-0.001035,1.923535,0.51627,0.303158,0.979779,0.56238,0.703634,0.731294,1.613497,0.027712,0.741923,2.696993
000719.XSHE,6.84,中原传媒,新闻和出版业,9.0813,9.5321,0.877,69.9871,45.6329,0.096573,0.016671,0.329545,0.494511,0.070037,0.126661,0.175225,0.086643,0.084882,0.084882,0.0,0.297037,0.932706,0.095047,0.760837,115.576213,69.192181,82.868657,152.060838,4.344224,0.012183,0.112169,0.111926,0.006754,0.799404,-0.408194,0.059824,-0.017169,-0.019558,2.217057,1.785876,1.027215,0.9563,1.101126,1.020053,0.777076,0.955724,0.029777,0.753889,7.042015
000720.XSHE,5.34,新能泰山,电力、热力生产和供应业,7.7572,6.4183,2.8646,68.8674,46.1088,0.369286,0.060499,0.50395,1.053331,0.046596,0.148151,0.014703,0.011088,0.228649,0.228649,0.0,0.367723,0.229731,0.450896,0.777051,46.283547,83.344628,488.98854,572.333167,0.736214,1.598058,0.942203,0.018356,0.018001,-0.339933,136.934078,-0.103596,0.103118,0.051466,2.03468,0.507451,0.475209,0.673091,0.948332,0.196099,0.752282,0.396821,0.29119,0.991225,1.624616
000721.XSHE,3.9,西安饮食,餐饮业,-193.9313,205.5282,3.0368,19.4632,16.9978,-0.015659,-0.000841,0.427578,0.753031,0.037518,-1.073208,0.516912,0.016846,-0.021193,-0.021193,0.0,0.316713,1.01452,-0.00724,0.456399,80.228133,,34.27734,,10.502565,-0.065094,-1.73017,0.319937,0.016327,0.524787,0.793475,-0.039612,-0.011747,0.001377,0.826208,0.743811,0.685692,1.251902,1.004547,1.056557,1.149477,0.962222,-0.073216,0.235479,2.790193
000722.XSHE,6.81,湖南发展,电力、热力生产和供应业,20.221,33.4082,1.0645,31.6092,31.6092,0.052644,0.014222,0.061351,0.066339,0.040021,0.096628,0.463298,0.004194,0.482771,0.482771,0.0,0.47934,0.31244,1.021357,0.090489,37.329159,,156.185415,,2.304953,0.191802,1.129705,-0.00135,0.022008,1.557302,0.664131,0.515983,0.180727,-0.004712,21.913944,20.907475,14.596098,1.025919,1.090899,1.140591,1.754734,0.83144,0.004738,0.577677,6.504205
000723.XSHE,8.11,美锦能源,石油加工、炼焦和核燃料加工业,23.0656,18.4982,4.15,332.4502,306.2303,0.179923,0.029666,0.51292,1.197441,0.034473,-0.677034,0.518261,0.104258,0.107523,0.107523,0.0,0.268519,0.675537,0.171693,0.826492,152.056376,73.171533,34.159254,107.330787,10.538872,-0.028702,0.058251,0.049083,0.017463,0.799836,2.311272,0.115333,0.048509,0.013381,0.79142,0.663786,0.429713,1.445897,1.237688,0.838058,1.706794,0.855027,0.143377,0.962106,2.396868
000725.XSHE,3.59,京东方A,计算机、通信和其他电子设备制造业,65.4647,36.3673,1.4399,1249.2625,1215.5649,0.021994,0.001146,0.602068,2.251094,0.495118,4.931278,0.62719,0.024247,0.002125,0.002125,0.057102,0.172716,1.453108,0.013827,0.349464,65.708442,66.636381,47.122736,113.759117,7.639624,-0.121806,-0.754102,0.025066,0.008078,-351.495795,26.83484,0.210939,0.025252,0.017703,1.341252,1.172624,1.01764,1.019083,1.03527,1.229509,1.237828,0.770729,,,2.643748
000726.XSHE,8.92,鲁泰A,纺织业,9.4205,9.4322,1.0412,76.5444,50.0481,0.110526,0.02119,0.300795,0.464328,0.034587,0.295037,0.552878,0.048403,0.123456,0.123456,0.04669,0.303397,0.808104,0.174947,0.587497,36.454888,34.334753,189.903847,224.2386,1.895696,0.038642,-0.075769,0.025806,0.013348,0.89265,2.052027,0.118342,0.106075,0.015607,1.29608,0.51567,0.412422,1.132921,1.073306,1.027856,1.044723,0.642943,-0.010092,0.849895,13.998148
000727.XSHE,2.06,华东科技,计算机、通信和其他电子设备制造业,-7.7154,-9.4504,1.1672,93.3091,60.3715,-0.151284,-0.016066,0.532986,1.952965,0.51292,-10.151841,0.725315,0.054204,-0.344051,-0.344051,0.003066,-0.126437,0.605258,-0.259767,0.197123,83.783465,54.438405,101.986372,156.424776,3.529883,-0.515325,-0.108095,0.016078,0.011224,-0.458586,0.369129,0.243222,-0.019863,0.036313,0.832732,0.514296,0.480032,1.052073,0.951258,0.243838,1.086313,0.927144,,,-0.008496
000728.XSHE,8.53,国元证券,资本市场服务,27.551,42.823,1.1528,287.0726,251.3049,0.041841,0.003928,0.692172,2.24961,0.0,,0.017023,0.002076,0.330056,0.330056,-0.409457,,0.795134,,0.039019,,,,,,,0.589081,,0.012754,3.36291,-5.374858,1.379491,-0.025624,-0.020936,,,,1.004042,0.722906,,1.036429,1.142538,,,
000729.XSHE,6.09,燕京啤酒,酒、饮料和精制茶制造业,82.4254,95.4395,1.2665,171.649,152.8251,0.015366,0.005725,0.252853,0.356374,0.003316,0.018058,0.504398,0.059295,0.022398,0.022398,0.0,0.384755,0.773015,0.0426,0.601057,39.452714,,201.071861,,1.790405,0.030344,-0.225407,0.132587,0.09334,3.74218,6.114037,0.117625,0.160706,0.033835,1.662547,0.83592,0.71194,0.91034,1.013237,0.94264,1.360069,0.979681,-0.009339,0.968859,28.769283
000731.XSHE,5.17,四川美丰,化学原料和化学制品制造业,27.0774,13.9254,1.082,30.5797,30.5797,0.039961,0.007786,0.239107,0.324023,0.099898,0.515461,0.583253,0.07511,0.038958,0.038958,0.00627,0.185208,1.623894,0.043978,0.780156,30.009168,22.805153,34.902007,57.70716,10.314593,-0.370317,-0.535456,0.039703,0.009456,2.81198,3.285194,0.109223,0.153809,0.030877,2.142401,1.732885,1.487559,0.796061,1.044272,0.929066,1.06177,1.06245,0.09298,0.925409,1.705516
000732.XSHE,5.82,泰禾集团,房地产业,4.4828,5.6702,0.6582,144.8541,144.6917,0.146829,0.005527,0.842375,8.826263,0.837715,1.16498,0.025714,0.006881,0.125024,0.125024,0.172793,0.290804,0.435303,0.201239,0.141355,135.898024,541.443941,2405.232182,2946.676123,0.149674,-0.040557,0.243689,0.049369,0.058545,9.363579,4.282997,1.11626,0.012352,0.007305,1.537241,0.244493,0.201265,0.989218,1.273466,0.909902,0.727758,0.939747,-0.012917,0.476907,5.27042
000733.XSHE,16.31,振华科技,计算机、通信和其他电子设备制造业,28.0739,32.4242,1.5622,83.9648,76.5497,0.064326,0.010838,0.373384,0.59654,0.156163,0.370522,0.176884,0.021786,0.084146,0.084146,-0.080828,0.386756,0.487532,0.123342,0.470316,136.35664,351.48294,130.115424,481.598364,2.766774,0.865244,0.394043,0.053305,0.009208,0.227437,-1.48435,0.017544,-0.036599,-0.023066,3.538111,2.99637,2.558311,0.975868,0.665713,0.594206,1.686045,1.236319,0.122879,0.950937,3.144079
000735.XSHE,9.13,罗牛山,畜牧业,-248.7047,27.046999999999997,2.6905,105.1332,105.07600000000001,-0.010818,-0.000975,0.345352,0.543611,0.085285,2.871806,0.419629,0.058965,-0.04667,-0.045482,0.0,0.145338,0.275677,-0.026677,0.150269,114.127699,,366.286722,,0.982837,-0.458291,-1.051707,0.034183,0.02899,-0.128976,0.550673,0.023539,0.001606,-0.000346,1.298379,0.595781,0.429306,0.867975,0.863733,1.238921,1.684306,1.308719,-0.018831,0.372956,2.62434
000736.XSHE,6.82,中交地产,房地产业,8.4402,4.5049,1.5472,36.4835,36.4835,0.287346,0.008119,0.902424,18.157676,0.812967,0.919439,0.001151,0.000122,0.107121,0.107121,0.0,0.246029,0.100144,0.178614,0.209717,195.10956,,1573.668131,,0.228765,-0.268624,-0.193474,0.030081,0.062327,-2.041878,-21.573145,-0.273898,-0.035512,-0.035247,1.6398,0.42331,0.354652,1.010383,1.544394,0.960743,24.220108,0.807729,-0.019365,0.366574,4.000754
000737.XSHE,2.96,ST南风,化学原料和化学制品制造业,3.7562,6.082000000000001,4.2398,16.2433,16.2433,1.128759,0.071656,0.749606,3.06719,0.028107,-0.133739,0.322494,0.131115,0.350784,0.350784,0.0,0.220264,2.25469,0.366283,0.786347,108.480347,48.340985,86.772464,135.113449,4.148782,-0.011076,-2.439952,0.093603,0.021965,1.765195,-5.010687,-0.083317,0.018458,0.016436,0.688637,0.483272,0.441738,0.674245,0.975762,0.799438,0.214124,0.807811,-0.001826,0.809657,12.282779
000738.XSHE,13.84,航发控制,铁路、船舶、航空航天和其他运输设备制造业,56.9694,61.1435,2.8451,158.5569,158.5558,0.049942,0.010496,0.247826,0.347944,0.016081,0.085648,0.305312,0.065482,0.093457,0.093457,0.0,0.247956,0.780604,0.125632,0.378034,105.379424,307.180237,165.206158,472.386394,2.179096,-0.206831,-0.028498,0.009025,0.002894,0.079152,1.831228,0.006974,0.069207,0.008051,2.80105,2.1934,2.153486,0.908103,1.075562,1.01583,1.117837,0.714082,-0.00149,0.736879,9.568673
000739.XSHE,12.92,普洛药业,医药制造业,28.7958,41.0898,4.1761,152.2652,148.1697,0.145024,0.026839,0.423359,0.734181,0.012476,0.149444,0.31933,0.057632,0.074237,0.074237,-0.001685,0.33242,0.772439,0.104918,1.126483,95.060582,76.441471,65.764663,142.206134,5.474064,0.045727,0.587437,0.121494,0.006084,2.151758,3.642721,0.184693,0.205176,0.062463,1.518089,1.168468,1.065828,0.901706,1.148536,0.965767,0.815501,0.884637,0.086225,0.912246,7.479682
000750.XSHE,4.89,国海证券,资本市场服务,39.0841,281.8321,1.4639,206.14,206.1398,0.037455,0.002788,0.789993,3.891071,0.0,,0.002133,0.002156,0.168036,0.168036,0.038356,,0.699366,,0.049051,,,,,,,26.742019,,0.005957,2.178723,-10.712433,0.490099,-0.037915,-0.032952,,,,0.991162,0.798354,,2.291432,1.071809,,,
000751.XSHE,3.07,锌业股份,有色金属冶炼和压延加工业,32.3834,81.5538,1.6882,43.283,43.2829,0.05213,0.007062,0.465064,0.869383,0.01932,0.148454,0.258803,0.171949,0.016355,0.016355,0.0,0.070873,0.793606,0.016778,1.705105,39.396173,18.038651,71.726644,89.765295,5.019055,0.174047,-0.000437,0.004341,0.006027,4.528742,7.363067,0.069996,0.22245,0.089454,1.267937,0.562219,0.445371,1.121683,1.247496,1.595582,1.955055,0.750929,,,1.092587
000752.XSHE,3.88,*ST西发,酒、饮料和精制茶制造业,-2.1969,-2.4841,3.2008,10.2338,10.2338,-1.456929,-0.093263,0.504853,1.883511,0.053497,-8.957183,0.101201,0.004288,-1.489533,-1.489533,0.0,0.27465,2.798516,-1.335751,0.247282,35.148047,,37.141903,,9.692557,-0.037772,-10.699827,0.044876,0.009005,-0.28988,-0.53736,0.325506,0.014404,0.012872,0.988137,0.947587,0.753235,1.829125,0.893695,1.115465,,1.275272,-0.006419,0.927922,19.89385
000753.XSHE,2.93,漳州发展,零售业,35.6782,31.5334,1.2748,29.0504,25.9055,0.040795,0.006686,0.590058,1.462162,0.218637,0.58159,0.100765,0.076665,0.027539,0.027539,0.0,0.151608,0.437662,0.047098,0.554914,69.618159,,220.25354,,1.63448,-0.026394,-0.125476,0.059195,0.004284,5.19428,19.909426,0.162075,0.069536,0.03903,1.554803,0.90915,0.740565,0.951574,1.120375,0.968278,1.759465,0.962075,0.035957,0.781013,5.421038
000755.XSHE,4.03,山西路桥,道路运输业,7.2341,38.984,1.6069,18.9114,18.9114,0.22213,0.007951,0.866855,6.51059,0.737693,-3.505812,0.00151,0.9018,0.267853,0.267853,0.0,0.674366,0.83463,,0.110417,311.843616,,0.631253,,570.294759,6.927295,-0.286085,,0.004598,2.938993,5.825149,0.882953,0.023186,0.016599,0.352709,0.352471,0.349148,1.359304,0.70158,-0.038072,1.591829,0.490395,,,0.486797
000756.XSHE,7.18,新华制药,医药制造业,15.079,17.8005,1.5432,44.6495,28.6837,0.10234,0.015667,0.501044,1.047557,0.170596,21.990848,0.508201,0.067843,0.056396,0.056396,-0.010576,0.325238,0.65853,0.076345,0.93356,62.489701,,71.19562,,5.056491,0.136347,0.066307,0.137833,0.010858,1.439806,1.553141,0.08768,0.046696,0.007797,1.019768,0.663042,0.571006,1.032148,1.153276,0.938563,0.949242,0.886817,0.076259,0.893498,4.132629
000757.XSHE,4.5,浩物股份,零售业,37.7592,34.3985,1.9576,27.2325,20.3229,0.057674,0.013989,0.541193,1.186035,0.043129,0.231333,0.254495,0.009955,0.055353,0.055353,0.0,0.160164,0.433973,0.068454,0.479265,66.466322,61.23156,212.857527,274.089087,1.691272,-0.500949,0.224679,0.02328,0.002133,-3.310254,-20.194261,-0.065657,-0.129724,-0.075406,1.347438,0.872344,0.619362,0.974268,1.030673,0.979647,0.813713,0.968691,-0.055758,0.488104,5.370083
000758.XSHE,4.16,中色股份,有色金属矿采选业,-50.6807,68.4283,1.5779,81.9261,81.9183,-0.031134,0.001426,0.62944,3.043448,0.379489,1.291401,0.1699,0.143241,-0.00081,-0.00081,0.967893,0.12339,1.490871,0.011658,0.507072,101.839484,174.720431,149.750608,324.471039,2.403997,-0.367641,-0.720576,0.020102,0.014287,-28.082066,0.888834,0.016624,-0.010829,-0.000416,1.359524,0.929379,0.767642,0.902617,0.959468,1.211607,0.788884,1.126,-0.039658,0.249701,2.713155
000759.XSHE,7.26,中百集团,零售业,14712.1742,11.4729,1.4561,49.4422,49.4123,9.9e-05,0.001614,0.598565,1.588085,0.001902,-0.004442,0.501938,0.045647,0.000308,0.000308,0.0,0.225468,0.022894,0.003618,1.713479,54.916239,42.587297,36.909253,79.496549,9.753652,0.028547,3.449844,0.183392,0.004526,6.25136,154.538669,0.039822,0.031876,0.01858,0.605902,0.378184,0.309491,0.940464,1.000156,0.968596,0.939244,1.004547,0.017391,0.917075,18.824364
000760.XSHE,1.38,*ST斯太,汽车制造业,-1.0467,-0.8141,2.1894,10.6515,9.0313,-2.091779,-0.323566,0.331422,0.495712,0.000442,0.040323,0.163213,0.324922,-23.603327,-23.603327,0.0,-0.091484,0.927413,-6.641696,0.059251,181.450191,,216.095684,,1.665929,-1.684033,0.678852,0.204669,0.039348,0.160826,-2.879194,-3.734595,0.203553,0.089962,1.048556,0.931195,0.609565,1.3333,1.437181,1.329736,0.049863,0.525066,,,0.787901
000761.XSHE,3.62,本钢板材,黑色金属冶炼和压延加工业,20.0771,13.5349,0.7217,140.2884,125.8084,0.035944,0.002981,0.686877,2.252838,0.273349,-1.380832,0.431435,0.004284,0.013429,0.013429,0.0,0.067965,0.461972,0.014388,0.815122,106.04195,54.030659,71.708481,125.739139,5.020327,-0.398027,-0.210547,0.022616,0.006021,0.879969,89.716161,0.014281,0.070121,0.047565,0.900777,0.650276,0.608025,0.87705,1.238818,1.211656,0.708489,0.812844,,,1.932051
000762.XSHE,6.51,西藏矿业,黑色金属矿采选业,-26.7904,-18.7355,1.7339,33.9053,33.9038,-0.064719,-0.012559,0.143405,0.202863,0.015064,0.040392,0.178795,0.130155,-0.294206,-0.294206,0.0,0.072002,0.879496,-0.218211,0.209748,40.221642,113.40174,137.338977,250.740718,2.621251,-0.746312,-7.126756,0.028488,0.022536,0.615726,0.435503,-0.124977,-0.020048,0.004625,4.72312,4.127437,3.939579,0.874975,0.748611,3.423522,1.679731,1.58474,-0.173907,0.189293,2.415848
000766.XSHE,7.71,通化金马,医药制造业,24.0607,22.5223,1.5301,74.5167,54.5116,0.063595,0.016068,0.230704,0.302066,0.098972,0.807429,0.16299,0.387832,0.14482,0.14482,0.0,0.837679,0.762477,0.215679,0.333369,166.842539,121.388288,498.00493,619.393218,0.722884,0.004791,0.273941,0.607919,0.01071,-0.123477,0.600288,-0.01066,0.016332,-0.002632,2.553548,1.822068,1.673642,0.911884,1.376716,0.940232,1.104333,1.155504,0.046046,0.816115,5.026768
000767.XSHE,2.46,漳泽电力,电力、热力生产和供应业,40.5318,23.6993,0.9955,75.6928,71.6424,0.024561,0.000639,0.834028,5.317272,0.719523,-1.819607,0.691751,0.023742,0.010057,0.010057,0.0,0.14527,-1.044822,0.010357,0.247379,215.278041,105.276422,33.846518,139.12294,10.636249,-6.088666,-1.025852,0.000124,0.011902,0.239657,3.615949,-0.005508,0.001803,0.001404,0.492117,0.446254,0.386126,1.006634,1.17957,-1.421757,0.99864,0.88359,,,1.031853
000768.XSHE,15.07,中航飞机,铁路、船舶、航空航天和其他运输设备制造业,62.4009,74.7681,2.5516,417.2348,417.2322,0.04089,0.004015,0.676393,2.094186,0.038247,0.168224,0.089546,0.005398,0.020729,0.020729,0.037478,0.063158,0.872875,0.024396,0.646699,275.15461,185.83788,216.028154,401.866034,1.666449,-0.059256,0.073956,0.010293,0.001746,0.886802,-0.608637,0.018374,-0.002108,-0.003826,1.3027,0.737831,0.631881,1.052917,1.076877,1.190365,1.192758,0.685657,-0.05604,0.391183,4.271799
000776.XSHE,13.91,广发证券,资本市场服务,18.2709,24.6526,1.1596,1060.0933,823.3734,0.063465,0.01023,0.752064,3.152487,0.0,,0.005121,0.000995,0.300029,0.300029,-0.028452,,0.673517,,0.055499,,,,,,,-0.012414,,0.005999,3.386475,5.403185,1.397184,0.027665,0.016706,,,,1.027326,0.70776,,1.724499,1.138171,,,
000777.XSHE,12.6,中核科技,通用设备制造业,34.5831,46.9097,3.4010000000000002,48.3106,48.3092,0.098344,0.014939,0.395087,0.653131,0.013613,0.098178,0.103814,0.022309,0.10384,0.10384,0.00928,0.230592,0.924027,0.107784,0.572892,152.324786,248.832012,139.365704,388.197715,2.583132,0.248859,0.532909,0.090485,0.007438,-21.708221,-0.531383,-0.032389,-0.026749,-0.030568,1.788675,1.323326,1.300875,1.056025,1.403337,0.825837,0.750825,0.775652,-0.003165,0.597271,6.759668
000778.XSHE,3.89,新兴铸管,金属制品业,9.7218,7.3879,0.7368,155.2452,152.5296,0.075808,0.01157,0.563966,1.371155,0.342371,1.714099,0.342843,0.039049,0.03976,0.03976,-0.017455,0.140567,0.842279,0.063195,0.798946,71.289174,88.29517,55.438956,143.734126,6.493629,-0.231332,-0.24348,0.02731,0.007722,0.766148,2.102068,0.045764,0.03548,0.00981,1.226617,0.966291,0.832324,1.003094,0.982571,0.603235,1.081238,0.986595,0.058975,0.852812,1.571692
000779.XSHE,10.82,甘咨询,专业技术服务业,14.6547,17.3386,2.3485,41.1518,20.1729,0.275862,0.042545,0.415231,0.713935,0.042236,0.248594,0.224894,0.087312,0.146831,0.146831,0.0,0.32508,0.897998,,1.097021,7.17798,111.126187,0.584934,111.711121,615.453645,1.176854,9.495859,,0.01043,0.056316,1.967771,0.008555,0.091239,0.019485,1.682544,1.679155,1.645731,1.163244,7.562569,0.493546,1.701922,0.77247,0.109403,0.939769,1.811077
000780.XSHE,2.95,平庄能源,煤炭开采和洗选业,-8.0571,-11.9201,0.7832,29.921999999999997,29.921999999999997,-0.097208,-0.018524,0.236232,0.309297,0.075308,0.102375,0.141877,0.126715,-0.163504,-0.163504,0.0,0.187167,-4.052744,-0.152683,0.454084,55.539603,157.857607,11.691267,169.548874,30.792215,-0.533671,-3.051606,0.023103,0.088949,-0.035444,-19.608514,0.007706,-0.23557,-0.058349,3.537822,3.473898,3.434998,0.918502,0.792143,1.50537,1.258096,1.461082,-0.084024,0.156753,2.168158
000782.XSHE,3.5,美达股份,化学纤维制造业,-48.6676,49.5694,1.3314,18.4849,15.6211,-0.027357,-0.003452,0.534563,1.181447,0.147958,0.75554,0.281875,0.015045,-0.012788,-0.012788,0.135649,0.056364,1.053003,-0.013261,1.026019,89.530731,45.809239,47.288102,93.097341,7.612909,-0.364392,-1.69968,0.027423,0.003556,0.696796,-7.219875,-0.013856,0.1714,0.104524,1.322033,1.026239,0.73498,0.921765,1.071536,1.016783,0.984577,0.938537,-0.057489,0.549685,6.085861
000783.XSHE,6.83,长江证券,资本市场服务,32.8758,146.8376,1.4058,377.6692,377.664,0.041332,0.00316,0.741376,2.888681,0.0,,0.002511,0.002012,0.176853,0.176853,-0.080373,,0.800046,,0.055429,,,,,,,1.002985,,0.006953,-1.028887,-11.878614,-0.242869,-0.055625,-0.044439,,,,0.957057,0.774675,,1.189911,1.323064,,,
000785.XSHE,10.03,武汉中商,零售业,23.4453,37.9696,1.8934,25.1975,25.1847,0.080757,0.019268,0.452871,0.928975,0.09952,0.887876,0.213565,0.014113,0.037722,0.037722,0.0,0.241547,0.511393,0.054794,1.479334,31.816523,,29.040813,,12.396347,0.106683,-0.617308,0.01273,0.015196,0.818743,2.732002,0.041381,0.057255,0.012029,1.327456,1.069488,1.027621,0.949931,1.011786,0.952841,1.305159,1.054116,0.021381,0.857943,14.370132
000786.XSHE,19.7,北新建材,非金属矿物制品业,80.7656,13.497,2.4654,332.833,278.5544,0.030525,0.009167,0.276633,0.38711,0.021239,1.209838,0.590789,0.095668,0.03312,0.03312,0.001533,0.341862,0.955474,0.069242,0.681227,41.854662,,67.308752,,5.348487,-0.110201,-0.155316,0.041867,0.012164,0.874579,1.02552,0.180161,0.133555,0.000146,1.13255,0.780934,0.589402,0.86333,1.12545,1.054203,0.729564,0.769196,0.049916,0.832868,7.886504
000788.XSHE,6.34,北大医药,医药制造业,74.6772,83.6362,3.0333,37.7856,37.7856,0.040619,0.007693,0.477071,0.908463,0.000886,0.003385,0.064608,0.014738,0.020558,0.020558,-0.009548,0.362127,0.849811,0.029037,1.037602,102.535463,139.747841,67.295941,207.043783,5.349505,-0.018446,0.226221,0.264141,0.005895,2.480378,-1.760616,0.070466,-0.023041,-0.017492,1.8769,1.616791,1.580115,1.000131,1.079163,0.753095,0.921565,1.33185,0.058066,0.85002,2.586193
000789.XSHE,9.6,万年青,非金属矿物制品业,6.517,6.729,1.7309999999999999,76.5479,76.5461,0.265607,0.057791,0.33478,0.761851,0.046239,0.329898,0.39438,0.130264,0.171907,0.171907,0.0,0.305088,0.516675,0.284282,1.046446,48.02723,37.019081,29.028237,66.047318,12.401718,-0.087709,0.037696,0.029917,0.008907,0.932264,1.920885,0.200388,0.174287,0.012048,1.375221,1.178392,1.007215,0.881666,1.438933,0.809887,0.79792,0.849549,0.000721,0.534503,5.640774
000790.XSHE,4.44,泰合健康,医药制造业,40.0526,87.7991,3.1393,27.3664,27.3402,0.07838,0.018355,0.230245,0.299114,0.004931,0.022595,0.157045,0.016216,0.093998,0.093998,0.0,0.663662,0.794697,0.134928,0.641858,164.955991,183.434811,146.396316,329.831127,2.459078,0.032005,-0.666245,0.451196,0.017485,1.238945,0.012633,0.138328,0.000782,-0.01422,3.428118,3.025911,2.926879,0.624035,1.071865,0.805163,0.909316,1.22147,0.094153,0.927403,3.896815
000791.XSHE,3.65,甘肃电投,电力、热力生产和供应业,10.5451,10.2277,0.7673,49.6245,49.6228,0.074217,0.008085,0.61977,1.814199,0.673041,12.91273,0.821382,0.012104,0.227628,0.227628,0.0,0.485807,0.78213,,0.125192,60.764337,228.979095,1.428039,230.407134,252.093973,-0.022448,0.059939,,0.012666,3.021438,1.633915,0.666139,0.040675,0.008209,1.521349,1.518163,1.418096,0.972959,1.211648,0.899635,1.285852,1.082893,0.128827,0.954926,3.534559
000792.XSHE,8.51,*ST盐湖,化学原料和化学制品制造业,-8.6627,-6.8791,1.6214,237.0963,234.0165,-0.169931,-0.008132,0.750244,3.386737,0.464351,-0.877935,0.812732,0.021592,-0.143645,-0.143645,0.0,0.254005,-0.83671,-0.124951,0.28523,165.821398,54.15322,75.085532,129.238752,4.794532,-0.123416,-0.45915,0.018226,0.041796,-5.116381,5.857845,0.18666,-0.008593,-0.005147,0.311312,0.216393,0.08723,1.02641,1.529115,1.279963,0.834735,0.72916,-0.112865,0.327502,3.634008
000793.XSHE,3.06,华闻集团,新闻和出版业,-1.232,-1.2246,1.2504,61.1157,59.3328,-1.014992,-0.088976,0.537791,1.347464,0.441749,2.825429,0.052706,0.151831,-1.142571,-1.142571,-0.008445,0.22132,-0.426976,-1.103046,0.338093,62.695652,128.912955,31.568272,160.481227,11.403855,-0.292104,-80.810616,0.083704,0.006757,-0.063481,-19.623254,0.062256,-0.007365,-0.008361,1.97826,1.816683,1.510561,1.606436,1.106376,1.648432,1.826695,0.867221,-0.062849,0.461162,5.053741
000795.XSHE,5.76,英洛华,非金属矿物制品业,47.038999999999994,58.2205,2.9346,65.3002,65.1503,0.063407,0.014985,0.308617,0.459996,0.008322,0.035503,0.187225,0.037736,0.062315,0.062315,0.0,0.211944,0.643196,0.085665,0.71498,73.293826,111.419245,113.518826,224.938071,3.17128,-0.089138,0.41099,0.032948,0.006197,3.001888,4.450223,0.145129,0.153009,0.036021,2.593298,1.985033,1.534014,1.114805,1.149712,1.044661,1.097212,0.659995,0.001879,0.544077,2.260033
000796.XSHE,6.51,凯撒旅游,商务服务业,53.0162,26.9263,2.1494,52.2753,52.2444,0.040543,0.00665,0.56213,1.396843,0.131059,0.660082,0.037119,0.045011,0.01659,0.01659,0.059261,0.165343,0.755358,0.022509,1.191249,97.061834,81.508303,2.095713,83.604015,171.779281,-0.088374,-0.494768,0.097583,0.002416,-10.610179,-4.876859,-0.077684,-0.220672,-0.153446,1.45787,1.444461,0.839656,0.951726,1.016693,0.994397,0.935563,1.039544,-0.112467,0.141008,2.051495
000797.XSHE,3.5,中国武夷,房地产业,17.9538,18.0273,1.0774,55.0112,54.5719,0.0537,0.008602,0.665405,2.096072,0.282612,0.328117,0.052187,0.006561,0.067905,0.067905,-0.005544,0.211906,0.699124,0.12353,0.311668,124.585081,,972.210223,,0.37029,-0.141066,0.213678,0.019635,0.045689,-1.378939,-3.916876,-0.141897,-0.031224,-0.026177,1.674453,0.456969,0.367823,0.985702,1.166843,1.043983,1.508931,1.190041,-0.029585,0.723933,9.301334
